utime,vel vx,vel vy,vel wz,odometry x,odometry y,odometry theta,apriltag id,apriltag longitude,apriltag latitude,apriltag world_x,apriltag world_y
1712956856456630,0.2811920047,0,1.799187422,2.124741077,-0.0302643422,-0.3916140795,-1,-1,-1,-1,-1
1712956856497070,0.2801855505,0,1.859490275,2.135100126,-0.03454200178,-0.3172344565,-1,-1,-1,-1,-1
1712956856537480,0.2782744467,0,1.003942609,2.145675659,-0.03801419958,-0.277076751,-1,-1,-1,-1,-1
1712956856577880,0.2867328525,0,0.3883544505,2.156707525,-0.04115157202,-0.2615425587,-1,-1,-1,-1,-1
1712956856618280,0.2929308414,0,0.2008332014,2.168026209,-0.04418130964,-0.2535092235,-1,-1,-1,-1,-1
1712956856658820,0.2846894562,0,-0.05337848514,2.17904973,-0.04703734443,-0.2556443512,-1,-1,-1,-1,-1
1712956856699260,0.2854005396,0,-0.05351182446,2.190094709,-0.04992410168,-0.2577848136,-1,-1,-1,-1,-1
1712956856739720,0.2841551304,0,-0.04010508209,2.201085329,-0.05282179266,-0.2593890131,-1,-1,-1,-1,-1
1712956856781390,0.2870979607,0,-0.02596732974,2.212185144,-0.0557673052,-0.2604277134,-1,-1,-1,-1,-1
1712956856821810,0.2886395752,0,-0.06691626459,2.223341465,-0.05874022096,-0.2631043494,-1,-1,-1,-1,-1
1712956856862350,0.2888027728,0,-0.08005594462,2.234496117,-0.06174468622,-0.2663065791,-1,-1,-1,-1,-1
1712956856902790,0.2874695361,0,-0.0535091348,2.245589495,-0.06477081776,-0.2684469521,-1,-1,-1,-1,-1
1712956856943210,0.2771841884,0,0.856549263,2.256279707,-0.06771156937,-0.2341849804,-1,-1,-1,-1,-1
1712956856983660,0.2832122445,0,1.390791655,2.267298937,-0.07034035027,-0.178553313,-1,-1,-1,-1,-1
1712956857025120,0.2935899794,0,1.709229112,2.278855801,-0.07242608815,-0.110184148,-1,-1,-1,-1,-1
1712956857065670,0.2877497077,0,0.8939136267,2.290296078,-0.07369174063,-0.07442760468,-1,-1,-1,-1,-1
1712956857106100,0.2781367898,0,0.4415163398,2.301390648,-0.07451901585,-0.05676694959,-1,-1,-1,-1,-1
1712956857142210,0.3278190196,0,0.1947854608,2.314482212,-0.07526298612,-0.04897553101,-1,-1,-1,-1,-1
1712956857182630,0.2928076386,0,0.04014965519,2.326180458,-0.07583637536,-0.04736954346,-1,-1,-1,-1,-1
1712956857223020,0.2784259915,0,-0.09375242889,2.337305069,-0.0763637349,-0.05111964047,-1,-1,-1,-1,-1
1712956857263560,0.2826183736,0,-0.02668988332,2.348595142,-0.07694137841,-0.05218723416,-1,-1,-1,-1,-1
1712956857304000,0.2863854766,0,-0.04012595862,2.360034943,-0.07753893733,-0.05379227176,-1,-1,-1,-1,-1
1712956857344420,0.285548836,0,-0.02676981129,2.371440411,-0.07815305144,-0.05486306548,-1,-1,-1,-1,-1
1712956857385020,0.2842336893,0,-0.05329304934,2.382792711,-0.07877649367,-0.05699478835,-1,-1,-1,-1,-1
1712956857425430,0.2824573219,0,-0.01338663418,2.394072771,-0.07942008972,-0.05753025413,-1,-1,-1,-1,-1
1712956857465980,0.2867179811,0,-0.05336939171,2.405522585,-0.08007952571,-0.05966502801,-1,-1,-1,-1,-1
1712956857506420,0.282240808,0,-0.04012890533,2.416792154,-0.08075272292,-0.06127018481,-1,-1,-1,-1,-1
1712956857546850,0.2822826803,0,-0.06689141691,2.428062201,-0.081444107,-0.06394584477,-1,-1,-1,-1,-1
1712956857587260,0.2824852467,0,-0.0669394508,2.439338446,-0.08216616511,-0.06662341952,-1,-1,-1,-1,-1
1712956857627650,0.2847039104,0,-0.06697095931,2.450701237,-0.08292432129,-0.06930226088,-1,-1,-1,-1,-1
1712956857668190,0.2846613824,0,-0.08005978912,2.462060452,-0.08371279389,-0.07250465453,-1,-1,-1,-1,-1
1712956857709420,0.2840251029,0,-0.0262438748,2.473391533,-0.08453579992,-0.07355441153,-1,-1,-1,-1,-1
1712956857749840,0.2875619829,0,-0.0535264276,2.484862804,-0.08538109809,-0.07569546998,-1,-1,-1,-1,-1
1712956857790240,0.285661906,0,-0.05356088281,2.49625659,-0.08624520153,-0.07783790678,-1,-1,-1,-1,-1
1712956857830630,0.2868038714,0,-0.04018462449,2.507694006,-0.08713726699,-0.07944529504,-1,-1,-1,-1,-1
1712956857871160,0.2857566476,0,-0.04003783315,2.519088268,-0.08804439008,-0.08104680479,-1,-1,-1,-1,-1
1712956857911610,0.2853511274,0,-0.05350260437,2.530464888,-0.08896844834,-0.08318690956,-1,-1,-1,-1,-1
1712956857952010,0.2866618931,0,-0.04016464204,2.541891813,-0.08992120624,-0.08479349315,-1,-1,-1,-1,-1
1712956857993370,0.284130156,0,-0.03923919797,2.553216219,-0.09088374674,-0.08636306226,-1,-1,-1,-1,-1
1712956858033760,0.2836610377,0,-0.05357676744,2.564520359,-0.09186244011,-0.08850613236,-1,-1,-1,-1,-1
1712956858074300,0.2877639234,0,-0.06671324372,2.575985909,-0.09287986904,-0.09117466211,-1,-1,-1,-1,-1
1712956858114750,0.2853652239,0,-0.05350529402,2.587352991,-0.09391915053,-0.09331487119,-1,-1,-1,-1,-1
1712956858159940,0.106237635,0,0,2.591583967,-0.09431511909,-0.09331487119,-1,-1,-1,-1,-1
1712956858200350,0.02814359404,0,-0.01338756364,2.592704773,-0.09442001581,-0.09385037422,-1,-1,-1,-1,-1
1712956858240720,0.004173035733,0,-0.02679833025,2.592870951,-0.09443566203,-0.09492230415,-1,-1,-1,-1,-1
