utime,vel vx,vel vy,vel wz,odometry x,odometry y,odometry theta,apriltag 1 id,apriltag 1 longitude,apriltag 1 latitude,apriltag 2 id,apriltag 2 longitude,apriltag 2 latitude,apriltag 1 world x,apriltag 1 world y,apriltag 2 world x,apriltag 2 world y
1712966402225860,0.2188350409,0,-0.02676788904,0.8958073258,-0.01634682156,-0.03274790198,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966402266390,0.2213096768,0,-0.04003386199,0.9046549797,-0.01663666591,-0.03434925526,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966402306810,0.2198879868,0,-0.04015362635,0.9134452939,-0.01693872549,-0.03595539927,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966402348260,0.2225479931,0,-0.03915491328,0.922341466,-0.01725872792,-0.037521597,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966402388670,0.2199423909,0,-0.01338778716,0.9311329722,-0.01758875325,-0.03805710748,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966402429080,0.2230419517,0,-0.02677250095,0.9400482178,-0.01792820543,-0.03912800923,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966402469620,0.2212660164,0,-0.01334205922,0.9488920569,-0.0182744246,-0.03966169059,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966402510040,0.2240841985,0,-0.06693112105,0.9578483701,-0.01862983406,-0.0423389338,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966402550460,0.2219283134,0,-0.0133820232,0.9667175412,-0.01900557056,-0.04287421331,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966402590870,0.2220381647,0,-0.04016553983,0.9755908847,-0.01938624308,-0.04448083416,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966402631280,0.2230419517,0,-0.02677250095,0.984503746,-0.01978295669,-0.04555173591,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966402672590,0.2222395539,0,-0.05237336829,0.9933841228,-0.02018775232,-0.04764667153,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966402713000,0.2230585068,0,-0.02677454986,1.002296329,-0.02061271109,-0.04871765524,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966402753410,0.2199369669,0,-0.04016272351,1.011083364,-0.02104113437,-0.05032416433,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966402789830,0.2451833487,0,-0.05941572785,1.020878315,-0.0215344727,-0.05270079523,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966402830260,0.2198390514,0,-0.04014478996,1.029659629,-0.02199768648,-0.05430658534,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966402870790,0.2233932316,0,-0.04003475979,1.038582206,-0.02248271741,-0.05590797588,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966402911220,0.2198553532,0,0.01338266395,1.047362685,-0.0229741279,-0.05537267029,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966402952520,0.2202592939,0,-0.02619366348,1.056159496,-0.02346173301,-0.05642041564,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966402992930,0.2167777121,0,0,1.064816833,-0.02395070158,-0.05642041564,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966403033350,0.2199097574,0,-0.0401577279,1.073599219,-0.02444673516,-0.05802672356,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966403073900,0.2181173116,0,-0.02668002062,1.082309246,-0.02495271713,-0.0590939261,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966403114320,0.2188079804,0,-0.02676443011,1.091046333,-0.02546962537,-0.06016450375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966403154750,0.2208864093,0,-0.02676391788,1.099865794,-0.02600088529,-0.06123505905,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966403195170,0.2167509049,0,-0.02676776052,1.108519554,-0.02653146349,-0.06230577081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966403235570,0.218910858,0,-0.05355409533,1.117259026,-0.02707668766,-0.06444793195,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966403276120,0.2181334645,0,-0.02668206953,1.125966191,-0.02763862908,-0.06551521271,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966403317370,0.2195159495,0,-0.03934000432,1.134727955,-0.02821348235,-0.06708881259,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966403357780,0.2189108878,0,-0.02677711099,1.143464684,-0.02880050056,-0.06815990061,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966403398200,0.2219667435,0,-0.04015273228,1.152322769,-0.02940520085,-0.06976600736,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966403439190,0.2188692987,0,-0.03959246725,1.16105628,-0.03001549095,-0.07134970278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966403479740,0.2222445309,0,-0.02667669021,1.169923425,-0.03064923547,-0.07241676748,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966403520900,0.2179706097,0,-0.01314339228,1.178619385,-0.03128007427,-0.0729425028,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966403561290,0.2211051732,0,-0.0535807386,1.187440038,-0.03192462027,-0.07508572936,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966403601710,0.2177660316,0,-0.01338227931,1.196126103,-0.03257805109,-0.07562102377,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966403642130,0.224028796,0,0.01338292006,1.205061674,-0.03325505555,-0.07508570701,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966403682670,0.2171536386,0,-0.01334462129,1.213723302,-0.0339066498,-0.07561948895,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966403723110,0.2197901011,0,-0.04013582319,1.222489834,-0.03457083181,-0.07722492516,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966403765420,0.2050385326,0,-0.02556717768,1.230666876,-0.03520356491,-0.0782476142,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966403805830,0.2209683806,0,-0.05354756117,1.239478588,-0.03589446843,-0.08038951457,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
